Player_Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total_Points,Average_by_Match,Attack_Points,Efficiency,Attack_Avg_Points,Block_Points,Block_Success,Block_Avg_Points,Serve_Points,Serve_Success,Serve_Avg_Points
Murmann Julia,L,175158,2022,Canada,Canada,20,181,0,0,0,0.00%,0,0,-,-,0,-,-
White Jazmine Ruth,MB,153629,2022,Canada,Canada,29,186,4,0.33,3,75.00%,0.25,1,33.33%,0.08,0,0.00%,0
Cossarini Claire,MB,189220,2022,Canada,Canada,22,194,-,-,-,-,-,-,-,-,-,-,-
Ogoms Alicia,MB,142777,2022,Canada,Canada,28,194,9,1.12,6,50.00%,0.75,3,11.11%,0.38,0,0.00%,0
Gray Alexa,OH,132236,2022,Canada,Canada,28,185,181,15.08,171,44.53%,14.25,9,19.15%,0.75,1,0.72%,0.08
Baker Courtney,S,157583,2022,Canada,Canada,25,180,1,0.12,0,-,-,1,100%,0.12,0,0.00%,0
Mitrovic Andrea,OH,173581,2022,Canada,Canada,23,187,26,2.17,22,35.48%,1.83,2,16.67%,0.17,2,5.13%,0.17
Cross Jennifer,MB,139522,2022,Canada,Canada,30,194,73,6.08,42,56.00%,3.5,23,23.96%,1.92,8,5.71%,0.67
King Brie,S,173585,2022,Canada,Canada,25,183,41,3.42,17,36.96%,1.42,17,30.36%,1.42,7,4.40%,0.58
Howe Hilary,OH,174676,2022,Canada,Canada,24,185,97,8.08,74,32.46%,6.17,16,30.19%,1.33,7,5.83%,0.58
Joseph Shainah,O,166581,2022,Canada,Canada,27,183,-,-,-,-,-,-,-,-,-,-,-
Livingston Caroline,OH,174680,2022,Canada,Canada,26,188,12,1,10,40.00%,0.83,0,0.00%,0,2,4.08%,0.17
Georgiadis Katerina,L,170054,2022,Canada,Canada,21,168,0,0,0,-,-,0,-,-,0,-,-
Robitaille Kim,S,156485,2022,Canada,Canada,31,180,0,0,0,-,-,0,0.00%,0,0,0.00%,0
Maglio Emily,MB,168354,2022,Canada,Canada,26,191,107,8.92,77,52.38%,6.42,26,26.53%,2.17,4,3.17%,0.33
Palermo Arielle,L,181280,2022,Canada,Canada,22,170,0,0,0,-,-,0,-,-,0,-,-
Heppell Avery,MB,181279,2022,Canada,Canada,25,192,-,-,-,-,-,-,-,-,-,-,-
Snape Kennedy Brooklyn,L,181178,2022,Canada,Canada,25,175,-,-,-,-,-,-,-,-,-,-,-
Madill Laura,S,189157,2022,Canada,Canada,22,180,-,-,-,-,-,-,-,-,-,-,-
Calkins Natasha,O,174681,2022,Canada,Canada,26,185,-,-,-,-,-,-,-,-,-,-,-
Grills Sydney,O,189156,2022,Canada,Canada,23,192,3,0.25,1,12.50%,0.08,0,0.00%,0,2,20.00%,0.17
Shannon Winzer,COACH,N/A,2022,Canada,,,,,,,,,,,,,,
Yuan Xinyue,MB,135746,2022,China,China,26,202,121,9.31,81,45.51%,6.23,30,16.30%,2.31,10,5.52%,0.77
Diao Linyu,S,162354,2022,China,China,28,183,24,2.4,10,58.82%,1,10,15.62%,1,4,3.51%,0.4
Yang Hanyu,MB,152337,2022,China,China,23,196,6,0.46,4,44.44%,0.31,1,16.67%,0.08,1,16.67%,0.08
Gao Yi,MB,152332,2022,China,China,24,194,0,-,0,-,-,0,-,-,0,-,-
Gong Xiangyu,O,143206,2022,China,China,25,189,199,15.31,171,48.86%,13.15,18,20.93%,1.38,10,5.21%,0.77
Wang Yuanyuan,MB,143201,2022,China,China,25,196,125,9.62,88,57.14%,6.77,33,22.15%,2.54,4,2.56%,0.31
Jin Ye,OH,152917,2022,China,China,27,189,59,4.54,50,37.04%,3.85,7,20.00%,0.54,2,1.85%,0.15
Wang Yunlu,OH,135740,2022,China,China,26,191,53,4.08,39,27.27%,3,8,25.81%,0.62,6,5.61%,0.46
Wang Yizhu,OH,172644,2022,China,China,22,190,0,0,0,-,-,0,-,-,0,0.00%,0
Li Yingying,OH,152318,2022,China,China,23,192,248,19.08,217,47.38%,16.69,18,19.57%,1.38,13,7.34%,1
Cai Yaqian,S,152326,2022,China,China,24,179,0,0,0,-,-,0,-,-,0,0.00%,0
Zheng Yixin,O,135742,2022,China,China,27,189,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
Wang Weiyi,L,150705,2022,China,China,27,175,0,0,0,-,-,0,-,-,0,-,-
Ding Xia,S,124130,2022,China,China,33,180,13,1,5,31.25%,0.38,5,13.51%,0.38,3,4.17%,0.23
Ni Feifan,L,163909,2022,China,China,22,177,0,0,0,-,-,0,-,-,0,-,-
Miao Yiwen,O,173642,2022,China,China,22,187,0,0,0,0.00%,0,0,-,-,0,0.00%,0
Chen Peiyan,O,162977,2022,China,China,23,195,2,0.22,1,20.00%,0.11,1,50.00%,0.11,0,0.00%,0
Wu Mengjie,OH,175119,2022,China,China,20,189,-,-,-,-,-,-,-,-,-,-,-
Wang Yifan,OH,189173,2022,China,China,18,188,-,-,-,-,-,-,-,-,-,-,-
Xu Jianan,L,152329,2022,China,China,24,167,-,-,-,-,-,-,-,-,-,-,-
Wang Mengjie,L,135745,2022,China,China,27,173,-,-,-,-,-,-,-,-,-,-,-
Zhong Hui,OH,152920,2022,China,China,25,184,-,-,-,-,-,-,-,-,-,-,-
Du Qingqing,OH,143198,2022,China,China,26,189,-,-,-,-,-,-,-,-,-,-,-
Wang Wenhan,MB,175121,2022,China,China,20,191,-,-,-,-,-,-,-,-,-,-,-
BIN CAI,COACH,N/A,2022,China,,,,,,,,,,,,,,
Rodriguez Duran Yaneirys,L,158817,2022,Dominican Republic,Dominican Republic,22,171,0,0,0,-,-,0,-,-,0,-,-
Rabit Esthefany,L,168727,2022,Dominican Republic,Dominican Republic,21,190,2,0.25,1,33.33%,0.12,1,50.00%,0.12,0,0.00%,0
Peralta Luna Vielka Michelle,OH,151087,2022,Dominican Republic,Dominican Republic,23,186,41,3.42,37,33.04%,3.08,2,14.29%,0.17,2,4.08%,0.17
Castillo Brenda,L,119039,2022,Dominican Republic,Dominican Republic,30,167,-,-,-,-,-,-,-,-,-,-,-
Dominguez Martinez Camil Inmaculada,S,119545,2022,Dominican Republic,Dominican Republic,31,176,1,0.08,1,33.33%,0.08,0,0.00%,0,0,0.00%,0
Marte Frica Niverka Dharlenis,S,119585,2022,Dominican Republic,Dominican Republic,32,178,18,1.5,11,28.95%,0.92,3,5.17%,0.25,4,3.12%,0.33
Hinojosa Diaz Angelica Maria,MB,143961,2022,Dominican Republic,Dominican Republic,26,186,13,1.08,4,28.57%,0.33,8,44.44%,0.67,1,3.45%,0.08
Perez Javier Yokaty,S,139912,2022,Dominican Republic,Dominican Republic,24,178,0,0,0,-,-,0,-,-,0,0.00%,0
Matos Duran Massiel,OH,139911,2022,Dominican Republic,Dominican Republic,24,188,2,0.5,2,33.33%,0.5,0,0.00%,0,0,0.00%,0
Guillen Paredes Madeline Jazmin,OH,149531,2022,Dominican Republic,Dominican Republic,21,186,26,3.25,25,35.71%,3.12,1,12.50%,0.12,0,0.00%,0
Peña Isabel Yonkaira Paola,OH,123978,2022,Dominican Republic,Dominican Republic,29,190,180,15,159,37.86%,13.25,11,21.15%,0.92,10,6.13%,0.83
Mambru Casilla Gina Altagracia,O,115391,2022,Dominican Republic,Dominican Republic,37,182,5,0.62,5,27.78%,0.62,0,0.00%,0,0,0.00%,0
De La Cruz De Peña Bethania,OH,114294,2022,Dominican Republic,Dominican Republic,35,188,-,-,-,-,-,-,-,-,-,-,-
Arias Perez Candida Estefany,MB,119224,2022,Dominican Republic,Dominican Republic,31,194,-,-,-,-,-,-,-,-,-,-,-
Martinez Brayelin Elizabeth,OH,123982,2022,Dominican Republic,Dominican Republic,26,201,109,9.08,100,41.15%,8.33,7,15.22%,0.58,2,2.08%,0.17
Martinez Jineiry,MB,139910,2022,Dominican Republic,Dominican Republic,25,192,98,8.17,67,44.08%,5.58,26,22.22%,2.17,5,3.65%,0.42
Caraballo Arias Samaret Jailene,OH,162342,2022,Dominican Republic,Dominican Republic,23,179,0,0,0,-,-,0,-,-,0,0.00%,0
Gonzalez Lopez Gaila Ceneida,O,139927,2022,Dominican Republic,Dominican Republic,25,190,154,12.83,126,38.30%,10.5,19,25.33%,1.58,9,6.57%,0.75
Gonzalez Geraldine Sthefany,MB,149530,2022,Dominican Republic,Dominican Republic,20,200,42,3.5,26,40.00%,2.17,15,19.74%,1.25,1,1.01%,0.08
Martinez Caro Larysmer,L,139913,2022,Dominican Republic,Dominican Republic,26,174,0,0,0,-,-,0,-,-,0,0.00%,0
Marcos Kwiek,COACH,N/A,2022,Dominican Republic,,,,,,,,,,,,,,
Bock Linda,L,152140,2022,Germany,Germany,22,172,1,0.12,1,100%,0.12,0,-,-,0,0.00%,0
Kästner Pia,S,150973,2022,Germany,Germany,24,182,18,1.5,10,47.62%,0.83,1,2.44%,0.08,7,6.19%,0.58
Pogany Anna,L,136671,2022,Germany,Germany,28,170,0,0,0,-,-,0,-,-,0,-,-
Glaab Corina,S,163661,2022,Germany,Germany,22,180,3,0.25,1,25.00%,0.08,1,7.69%,0.08,1,1.89%,0.08
Janiska Jennifer,OH,123911,2022,Germany,Germany,28,184,56,4.67,49,28.65%,4.08,2,10.00%,0.17,5,4.39%,0.42
Vanjak Ivana,OH,168102,2022,Germany,Germany,27,193,52,4.33,43,31.16%,3.58,5,23.81%,0.42,4,11.11%,0.33
Alsmeier Lina,OH,163658,2022,Germany,Germany,22,189,130,11.82,111,42.05%,10.09,8,28.57%,0.73,11,8.87%,1
Stigrot Lena,OH,144980,2022,Germany,Germany,28,184,97,8.08,85,35.12%,7.08,11,25.00%,0.92,1,0.86%,0.08
Orthmann Hanna,OH,151016,2022,Germany,Germany,24,-,181,15.08,163,42.34%,13.58,9,23.08%,0.75,9,7.69%,0.75
Hippe Saskia,O,118954,2022,Germany,Germany,32,186,24,2,20,39.22%,1.67,1,16.67%,0.08,3,6.82%,0.25
Schölzel Marie,MB,150812,2022,Germany,Germany,25,190,68,5.67,53,49.53%,4.42,10,11.24%,0.83,5,5.05%,0.42
Lohmann Elisa,L,151014,2022,Germany,Germany,24,175,-,-,-,-,-,-,-,-,-,-,-
Ambrosius Lea,MB,163989,2022,Germany,Germany,22,189,-,-,-,-,-,-,-,-,-,-,-
Dreblow Sophie,L,151021,2022,Germany,Germany,24,167,-,-,-,-,-,-,-,-,-,-,-
Weitzel Camilla,MB,153929,2022,Germany,Germany,22,195,120,10,87,47.54%,7.25,23,20.54%,1.92,10,5.56%,0.83
Strubbe Monique,MB,182628,2022,Germany,Germany,21,189,1,0.08,1,33.33%,0.08,0,0.00%,0,0,0.00%,0
Straube Sarah,S,181272,2022,Germany,Germany,20,185,0,0,0,-,-,0,0.00%,0,0,-,-
Cekulaev Anastasia,MB,177765,2022,Germany,Germany,19,187,29,2.42,25,59.52%,2.08,2,12.50%,0.17,2,6.06%,0.17
Agbortabi Vanessa,OH,151011,2022,Germany,Germany,24,181,-,-,-,-,-,-,-,-,-,-,-
Cesar Annie,L,158238,2022,Germany,Germany,25,173,-,-,-,-,-,-,-,-,-,-,-
Leweling Pia,OH,151017,2022,Germany,Germany,25,182,-,-,-,-,-,-,-,-,-,-,-
Fernau Pia,S,189214,2022,Germany,Germany,20,181,-,-,-,-,-,-,-,-,-,-,-
van Clewe Luisa,MB,189215,2022,Germany,Germany,20,193,-,-,-,-,-,-,-,-,-,-,-
Barthel Meghan,S,189213,2022,Germany,Germany,23,179,-,-,-,-,-,-,-,-,-,-,-
Emonts Laura,OH,119316,2022,Germany,Germany,31,180,-,-,-,-,-,-,-,-,-,-,-
Vital Heynen,COACH,N/A,2022,Germany,,,,,,,,,,,,,,
Lubian Marina,MB,151658,2022,Italy,Italy,22,193,25,1.67,15,50.00%,1,4,16.67%,0.27,6,7.41%,0.4
Bosio Francesca,S,151986,2022,Italy,Italy,25,-,3,0.38,0,0.00%,0,3,30.00%,0.38,0,0.00%,0
Gennari Alessia,OH,118764,2022,Italy,Italy,31,184,35,3.18,31,37.80%,2.82,3,14.29%,0.27,1,2.00%,0.09
Bonifacio Sara,MB,142391,2022,Italy,Italy,26,-,45,3,32,53.33%,2.13,13,24.53%,0.87,0,0.00%,0
Malinov Ofelia,S,143371,2022,Italy,Italy,27,182,31,2.07,16,51.61%,1.07,14,20.90%,0.93,1,0.88%,0.07
De Gennaro Monica,L,115478,2022,Italy,Italy,36,174,0,0,0,-,-,0,-,-,0,-,-
Fersino Eleonora,L,173402,2022,Italy,Italy,23,-,0,0,0,-,-,0,-,-,0,-,-
Orro Alessia,S,150441,2022,Italy,Italy,24,178,11,1.57,7,46.67%,1,1,4.76%,0.14,3,3.33%,0.43
Bosetti Caterina Chiara,OH,123744,2022,Italy,Italy,29,-,72,10.29,58,47.15%,8.29,6,25.00%,0.86,8,8.25%,1.14
Chirichella Cristina,MB,136690,2022,Italy,Italy,29,-,89,5.93,66,47.14%,4.4,17,14.17%,1.13,6,3.90%,0.4
Danesi Anna,MB,136694,2022,Italy,Italy,26,-,74,6.73,43,53.75%,3.91,27,28.42%,2.45,4,4.08%,0.36
Guerra Anastasia,OH,143393,2022,Italy,Italy,26,183,18,4.5,18,54.55%,4.5,0,0.00%,0,0,0.00%,0
Battistoni Ilaria,S,180478,2022,Italy,Italy,26,174,-,-,-,-,-,-,-,-,-,-,-
Pietrini Elena,OH,156104,2022,Italy,Italy,23,188,54,7.71,44,48.35%,6.29,8,32.00%,1.14,2,3.23%,0.29
Nwakalor Sylvia Chinelo,O,151664,2022,Italy,Italy,23,176,123,8.2,110,44.90%,7.33,12,25.00%,0.8,1,1.15%,0.07
D'Odorico Sofia,OH,143391,2022,Italy,Italy,26,186,0,0,0,0.00%,0,0,-,-,0,-,-
Sylla Myriam Fatime,OH,136701,2022,Italy,Italy,28,184,32,2.91,27,36.99%,2.45,4,30.77%,0.36,1,3.23%,0.09
Egonu Paola Ogechi,O,150840,2022,Italy,Italy,24,193,211,19.18,184,49.07%,16.73,14,25.00%,1.27,13,11.50%,1.18
Squarcini Federica,MB,173917,2022,Italy,Italy,22,181,-,-,-,-,-,-,-,-,-,-,-
Panetoni Sara,L,163627,2022,Italy,Italy,22,175,-,-,-,-,-,-,-,-,-,-,-
Degradi Alice Carlotta,OH,143370,2022,Italy,Italy,26,182,122,10.17,108,46.75%,9,8,17.78%,0.67,6,4.80%,0.5
Enweonwu Nkemdilim Ruth Terry,O,163061,2022,Italy,Italy,22,187,1,0.25,1,20.00%,0.25,0,-,-,0,0.00%,0
Perinelli Elena,OH,136697,2022,Italy,Italy,27,182,30,7.5,26,39.39%,6.5,2,13.33%,0.5,2,5.13%,0.5
Mazzaro Alessia,MB,151661,2022,Italy,Italy,24,184,10,2.5,6,37.50%,1.5,3,33.33%,0.75,1,6.25%,0.25
Omoruyi Oghosasere Loveth,OH,173730,2022,Italy,Italy,20,184,-,-,-,-,-,-,-,-,-,-,-
Davide Mazzanti,COACH,N/A,2022,Italy,,,,,,,,,,,,,,
Moriya Akane,L,168062,2022,Japan,Japan,32,165,0,0,0,-,-,0,-,-,0,-,-
Uchiseto Mami,L,146207,2022,Japan,Japan,31,172,47,3.62,41,36.61%,3.15,1,7.14%,0.08,5,7.14%,0.38
Nishida Sarina,OH,143437,2022,Japan,Japan,26,180,256,19.69,234,40.91%,18,18,28.12%,1.38,4,2.37%,0.31
Ishikawa Mayu,OH,162218,2022,Japan,Japan,22,174,69,5.31,60,38.22%,4.62,2,11.11%,0.15,7,6.93%,0.54
Shimamura Haruyo,MB,141953,2022,Japan,Japan,31,182,69,5.31,53,37.32%,4.08,11,13.75%,0.85,5,4.50%,0.38
Shibata Mika,S,152457,2022,Japan,Japan,28,171,-,-,-,-,-,-,-,-,-,-,-
Miyashita Haruka,S,132100,2022,Japan,Japan,28,176,0,0,0,-,-,0,-,-,0,0.00%,0
Kojima Manami,L,142367,2022,Japan,Japan,28,158,0,0,0,-,-,0,-,-,0,-,-
Inoue Arisa,OH,142372,2022,Japan,Japan,27,178,154,11.85,135,36.49%,10.38,11,22.92%,0.85,8,6.02%,0.62
Kaneda Shuka,OH,181174,2022,Japan,Japan,26,177,-,-,-,-,-,-,-,-,-,-,-
Okumu Oba Fuyumi Hawi,OH,162877,2022,Japan,Japan,24,178,2,0.5,2,50.00%,0.5,0,-,-,0,-,-
Hayashi Kotona,OH,151953,2022,Japan,Japan,23,173,109,8.38,99,43.04%,7.62,4,7.69%,0.31,6,4.96%,0.46
Yamada Nichika,MB,162227,2022,Japan,Japan,23,184,23,2.56,18,36.00%,2,2,5.71%,0.22,3,5.36%,0.33
Fukudome Satomi,L,189198,2022,Japan,Japan,25,162,-,-,-,-,-,-,-,-,-,-,-
Yokota Mami,MB,189040,2022,Japan,Japan,25,177,16,4,11,47.83%,2.75,4,12.50%,1,1,2.38%,0.25
Matsui Tamaki,S,162876,2022,Japan,Japan,25,170,12,0.92,10,55.56%,0.77,0,0.00%,0,2,2.86%,0.15
Ogawa Erina,MB,163046,2022,Japan,Japan,24,178,45,3.46,37,38.14%,2.85,3,6.82%,0.23,5,6.02%,0.38
Miyabe Airi,OH,146519,2022,Japan,Japan,24,181,11,2.75,8,24.24%,2,2,66.67%,0.5,1,9.09%,0.25
Hamamatsu Asuka,MB,161807,2022,Japan,Japan,24,181,12,2.4,10,33.33%,2,2,20.00%,0.4,0,0.00%,0
Seki Nanami,S,151944,2022,Japan,Japan,23,171,10,0.77,7,50.00%,0.54,0,0.00%,0,3,2.73%,0.23
Nakagawa Miyu,OH,151955,2022,Japan,Japan,23,183,-,-,-,-,-,-,-,-,-,-,-
Hirayama Shion,MB,162215,2022,Japan,Japan,22,180,-,-,-,-,-,-,-,-,-,-,-
Miyabe Ameze,OH,162225,2022,Japan,Japan,21,173,-,-,-,-,-,-,-,-,-,-,-
Sato Yoshino,OH,189193,2022,Japan,Japan,21,177,13,1.44,11,33.33%,1.22,0,0.00%,0,2,6.06%,0.22
Asano Nanami,MB,174228,2022,Japan,Japan,20,183,-,-,-,-,-,-,-,-,-,-,-
Masayoshi MANABE,COACH,N/A,2022,Japan,,,,,,,,,,,,,,
Yoo Seo Yeun,OH,151962,2022,Korea,Korea,24,174,-,-,-,-,-,-,-,-,-,-,-
Kim Ha Kyung,S,189225,2022,Korea,Korea,26,174,-,-,-,-,-,-,-,-,-,-,-
Yeum Hye Seon,S,120148,2022,Korea,Korea,32,176,13,1.08,4,25.00%,0.33,0,0.00%,0,9,6.77%,0.75
Han Dahye,L,181150,2022,Korea,Korea,28,164,0,0,0,-,-,0,-,-,0,-,-
Noh Ran,L,135948,2022,Korea,Korea,29,166,0,0,0,-,-,0,-,-,0,-,-
Lee Seonwoo,O,175172,2022,Korea,Korea,20,183,40,5.71,30,24.59%,4.29,3,15.79%,0.43,7,18.42%,1
Kang Sohwi,OH,156286,2022,Korea,Korea,25,180,86,7.17,72,30.38%,6,10,25.64%,0.83,4,4.26%,0.33
Jung Hoyoung,MB,168184,2022,Korea,Korea,21,190,45,5.62,32,42.11%,4,12,18.75%,1.5,1,1.47%,0.12
Lee Juah,MB,163760,2022,Korea,Korea,22,185,45,4.5,31,35.23%,3.1,12,26.67%,1.2,2,2.82%,0.2
Go Yerim,OH,147380,2022,Korea,Korea,28,177,19,1.58,18,37.50%,1.5,0,0.00%,0,1,4.76%,0.08
Park Hyemin,OH,163836,2022,Korea,Korea,22,181,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
Lee Dahyeon,MB,163822,2022,Korea,Korea,21,185,62,5.17,45,38.14%,3.75,11,16.92%,0.92,6,7.69%,0.5
Park Jeongah,OH,131893,2022,Korea,Korea,29,187,92,7.67,83,28.92%,6.92,8,29.63%,0.67,1,1.20%,0.08
Jeong Jiyun,OH,163832,2022,Korea,Korea,22,180,-,-,-,-,-,-,-,-,-,-,-
Hwang Minkyoung,OH,119479,2022,Korea,Korea,32,174,22,1.83,19,29.69%,1.58,2,25.00%,0.17,1,3.03%,0.08
Lee Hanbi,OH,189224,2022,Korea,Korea,26,177,37,3.08,36,33.64%,3,1,9.09%,0.08,0,0.00%,0
Park Haejin,S,175165,2022,Korea,Korea,20,177,0,0,0,0.00%,0,0,0.00%,0,0,-,-
Choi Jeongmin,MB,175176,2022,Korea,Korea,20,179,0,-,0,-,-,0,-,-,0,-,-
Kim Heejin,O,119484,2022,Korea,Korea,31,185,54,4.5,48,29.09%,4,5,16.13%,0.42,1,2.17%,0.08
Han Sujin,L,151985,2022,Korea,Korea,23,166,-,-,-,-,-,-,-,-,-,-,-
KIM Chaeyeon,MB,168183,2022,Korea,Korea,23,183,-,-,-,-,-,-,-,-,-,-,-
An Hyejin,S,151959,2022,Korea,Korea,25,175,0,0,0,0.00%,0,0,-,-,0,0.00%,0
Park Eunjin,MB,168185,2022,Korea,Korea,23,187,-,-,-,-,-,-,-,-,-,-,-
NA Hyunsoo,O,168182,2022,Korea,Korea,23,183,-,-,-,-,-,-,-,-,-,-,-
Moon Myounghwa,MB,153111,2022,Korea,Korea,27,189,-,-,-,-,-,-,-,-,-,-,-
Cesar Hernandez Gonzalez,COACH,N/A,2022,Korea,,,,,,,,,,,,,,
Knip Kirsten,L,124071,2022,Netherlands,Netherlands,30,175,-,-,-,-,-,-,-,-,-,-,-
Savelkoel Fleur,OH,150828,2022,Netherlands,Netherlands,27,184,124,10.33,102,36.43%,8.5,16,41.03%,1.33,6,4.92%,0.5
van Der Mark Marieke,O,189046,2022,Netherlands,Netherlands,24,196,-,-,-,-,-,-,-,-,-,-,-
Plak Celeste,O,142880,2022,Netherlands,Netherlands,27,190,123,10.25,111,42.53%,9.25,10,26.32%,0.83,2,2.38%,0.17
Knollema Jolien,OH,167482,2022,Netherlands,Netherlands,20,189,25,2.08,21,32.81%,1.75,3,27.27%,0.25,1,6.67%,0.08
Lohuis Juliet,MB,151194,2022,Netherlands,Netherlands,26,190,110,9.17,75,49.02%,6.25,25,19.53%,2.08,10,6.94%,0.83
Korevaar Demi,MB,167777,2022,Netherlands,Netherlands,22,187,0,-,0,-,-,0,-,-,0,-,-
Schoot Myrthe,L,123468,2022,Netherlands,Netherlands,34,182,0,0,0,-,-,0,-,-,0,-,-
van Aalen Sarah,S,162356,2022,Netherlands,Netherlands,23,186,0,0,0,-,-,0,0.00%,0,0,0.00%,0
Buijs Anne,OH,120503,2022,Netherlands,Netherlands,31,-,114,14.25,108,37.11%,13.5,5,13.89%,0.62,1,0.93%,0.12
Bongaerts Britt,S,147432,2022,Netherlands,Netherlands,26,185,19,1.58,10,29.41%,0.83,4,5.71%,0.33,5,3.18%,0.42
de Haan Jolijn,O,176465,2022,Netherlands,Netherlands,20,184,-,-,-,-,-,-,-,-,-,-,-
Dijkema Laura,S,124070,2022,Netherlands,Netherlands,33,184,0,0,0,-,-,0,0.00%,0,0,0.00%,0
Baijens Indy,MB,168148,2022,Netherlands,Netherlands,22,193,4,0.33,3,33.33%,0.25,1,100%,0.08,0,0.00%,0
Vos Iris,OH,181648,2022,Netherlands,Netherlands,20,184,0,-,0,-,-,0,-,-,0,-,-
Jasper Marrit,OH,159904,2022,Netherlands,Netherlands,27,180,43,3.58,37,29.84%,3.08,4,19.05%,0.33,2,2.25%,0.17
Daalderop Nika,OH,150809,2022,Netherlands,Netherlands,24,189,0,-,0,-,-,0,-,-,0,-,-
Polder Tessa,MB,150808,2022,Netherlands,Netherlands,25,189,-,-,-,-,-,-,-,-,-,-,-
Stuut Britte,MB,181647,2022,Netherlands,Netherlands,20,198,-,-,-,-,-,-,-,-,-,-,-
Timmerman Eline,MB,172894,2022,Netherlands,Netherlands,24,192,121,10.08,78,49.68%,6.5,36,20.93%,3,7,3.98%,0.58
de Zwart Laura,MB,162357,2022,Netherlands,Netherlands,24,199,0,-,0,-,-,0,-,-,0,-,-
